step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
1490.0,-1.4100000000000001,31,1926.0,,
1495.0,-0.2699999999999996,30,1953.0,,
1500.0,0.9100000000000001,29,1862.0,,
1505.0,-0.879999999999999,31,1950.0,,
1510.0,-0.129999999999999,34,1963.0,,
1515.0,-0.5199999999999996,32,2015.0,,
1520.0,0.05999999999999872,23,2009.0,,
1525.0,0.28000000000000114,18,1981.0,,
1530.0,0.5,21,1931.0,,
1535.0,-1.0400000000000027,26,2035.0,,
1540.0,-1.4899999999999984,37,2184.0,,
1545.0,-1.1400000000000006,38,2298.0,,
1550.0,-0.370000000000001,36,2335.0,,
1555.0,-0.04999999999999716,34,2340.0,,
1560.0,-0.39000000000000057,23,2379.0,,
1565.0,0.5799999999999983,20,2321.0,,
1570.0,-0.16999999999999815,24,2338.0,,
1575.0,0.0,26,2338.0,,
1580.0,0.0799999999999983,21,2330.0,,
1585.0,-0.4299999999999997,18,2373.0,,
1590.0,-0.3099999999999987,23,2404.0,,
1595.0,-0.4499999999999993,26,2449.0,,
1600.0,-1.0600000000000023,36,2555.0,,
1605.0,-1.2699999999999996,39,2682.0,,
1610.0,-0.10999999999999943,37,2693.0,,
1615.0,-1.5399999999999991,34,2847.0,,
1620.0,-1.5800000000000018,31,3005.0,,
1625.0,6.220000000000002,27,2383.0,,
1630.0,11.559999999999999,28,1227.0,,
1635.0,0.9699999999999989,34,1130.0,,
1640.0,-0.5499999999999989,41,1185.0,,
1645.0,-0.9800000000000004,40,1283.0,,
1650.0,0.1899999999999995,34,1264.0,,
1655.0,0.8200000000000003,25,1182.0,,
1660.0,1.040000000000001,19,1078.0,,
1665.0,-0.11000000000000121,12,1089.0,,
1670.0,-0.2599999999999998,21,1115.0,,
1675.0,-0.41000000000000014,21,1156.0,,
1680.0,-0.40000000000000036,25,1196.0,,
1685.0,-0.16999999999999993,27,1213.0,,
1690.0,0.6900000000000013,24,1144.0,,
1695.0,1.5700000000000003,24,987.0,,
1700.0,0.75,14,912.0,,
1705.0,0.6499999999999986,10,847.0,,
1710.0,0.15000000000000036,10,832.0,,
1715.0,-0.27999999999999936,16,860.0,,
1720.0,-0.4299999999999997,17,903.0,,
1725.0,-0.16000000000000014,14,919.0,,
1730.0,-0.120000000000001,10,931.0,,
1735.0,-0.33999999999999986,16,965.0,,
1740.0,-0.5,17,1015.0,,
1745.0,-0.29999999999999893,23,1045.0,,
1750.0,-0.4400000000000013,21,1089.0,,
1755.0,3.4700000000000006,17,742.0,,
1760.0,3.89,17,353.0,,
1765.0,-0.27,20,380.0,,
1770.0,-0.27000000000000046,25,407.0,,
1775.0,-0.7399999999999993,28,481.0,,
1780.0,-0.33000000000000007,29,514.0,,
1785.0,-0.54,27,568.0,,
1790.0,-0.5,20,618.0,,
1795.0,0.02999999999999936,15,615.0,,
1800.0,0.4500000000000002,11,570.0,,
1805.0,0.7999999999999998,17,490.0,,
1810.0,-0.11999999999999922,18,502.0,,
1815.0,-0.10000000000000053,19,512.0,,
1820.0,-0.07000000000000028,21,519.0,,
1825.0,0.040000000000000036,16,515.0,,
